Bank Name,City,ST,CERT,Acquiring Institution,Closing date,Closing year,Closing month and date,Updated Date,Updated year ,Updated month and date 
First National Bank of Georgia,Carrollton,GA,16480,Community & Southern Bank,2010/1/29,2010,1/29,2018/2/22,2018,2/22
Columbia River Bank,The Dalles,OR,22469,Columbia State Bank,2010/1/22,2010,1/22,2018/5/10,2018,5/10
Evergreen Bank,Seattle,WA,20501,Umpqua Bank,2010/1/22,2010,1/22,2013/1/15,2013,1/15
Charter Bank,Santa Fe,NM,32498,Charter Bank,2010/1/22,2010,1/22,2012/8/23,2012,8/23
Bank of Leeton,Leeton,MO,8265,"Sunflower Bank, N.A.",2010/1/22,2010,1/22,2013/1/15,2013,1/15
Premier American Bank,Miami,FL,57147,"Premier American Bank, N.A.",2010/1/22,2010,1/22,2015/9/21,2015,9/21
Barnes Banking Company,Kaysville,UT,1252,No Acquirer,2010/1/15,2010,1/15,2012/8/23,2012,8/23
St. Stephen State Bank,St. Stephen,MN,17522,First State Bank of St. Joseph,2010/1/15,2010,1/15,2016/8/8,2016,8/8
Town Community Bank & Trust,Antioch,IL,34705,First American Bank,2010/1/15,2010,1/15,2012/8/23,2012,8/23
Horizon Bank,Bellingham,WA,22977,Washington Federal Savings and Loan Association,2010/1/8,2010,1/8,2017/10/3,2017,10/3
"First Federal Bank of California, F.S.B.",Santa Monica,CA,28536,"OneWest Bank, FSB",2009/12/18,2009,12/18,2012/8/23,2012,8/23
Imperial Capital Bank,La Jolla,CA,26348,City National Bank,2009/12/18,2009,12/18,2012/9/5,2012,9/5
Independent Bankers' Bank,Springfield,IL,26820,The Independent BankersBank (TIB),2009/12/18,2009,12/18,2012/8/23,2012,8/23
New South Federal Savings Bank,Irondale,AL,32276,Beal Bank,2009/12/18,2009,12/18,2012/8/23,2012,8/23
Citizens State Bank,New Baltimore,MI,1006,No Acquirer,2009/12/18,2009,12/18,2014/3/21,2014,3/21
Peoples First Community Bank,Panama City,FL,32167,Hancock Bank,2009/12/18,2009,12/18,2012/11/5,2012,11/5
RockBridge Commercial Bank,Atlanta,GA,58315,No Acquirer,2009/12/18,2009,12/18,2014/3/21,2014,3/21
SolutionsBank,Overland Park,KS,4731,Arvest Bank,2009/12/11,2009,12/11,2018/1/3,2018,1/3
"Valley Capital Bank, N.A.",Mesa,AZ,58399,Enterprise Bank & Trust,2009/12/11,2009,12/11,2016/10/20,2016,10/20
"Republic Federal Bank, N.A.",Miami,FL,22846,1st United Bank,2009/12/11,2009,12/11,2017/10/6,2017,10/6
Greater Atlantic Bank,Reston,VA,32583,Sonabank,2009/12/4,2009,12/4,2014/3/21,2014,3/21
Benchmark Bank,Aurora,IL,10440,"MB Financial Bank, N.A.",2009/12/4,2009,12/4,2012/8/23,2012,8/23
AmTrust Bank,Cleveland,OH,29776,New York Community Bank,2009/12/4,2009,12/4,2014/3/21,2014,3/21
The Tattnall Bank,Reidsville,GA,12080,Heritage Bank of the South,2009/12/4,2009,12/4,2014/3/21,2014,3/21
First Security National Bank,Norcross,GA,26290,State Bank and Trust Company,2009/12/4,2009,12/4,2015/10/17,2015,10/17
The Buckhead Community Bank,Atlanta,GA,34663,State Bank and Trust Company,2009/12/4,2009,12/4,2014/3/21,2014,3/21
Commerce Bank of Southwest Florida,Fort Myers,FL,58016,Central Bank,2009/11/20,2009,11/20,2017/12/21,2017,12/21
Pacific Coast National Bank,San Clemente,CA,57914,Sunwest Bank,2009/11/13,2009,11/13,2017/4/10,2017,4/10
Orion Bank,Naples,FL,22427,IBERIABANK,2009/11/13,2009,11/13,2014/3/21,2014,3/21
"Century Bank, F.S.B.",Sarasota,FL,32267,IBERIABANK,2009/11/13,2009,11/13,2014/3/21,2014,3/21
United Commercial Bank,San Francisco,CA,32469,East West Bank,2009/11/6,2009,11/6,2012/11/5,2012,11/5
Gateway Bank of St. Louis,St. Louis,MO,19450,Central Bank of Kansas City,2009/11/6,2009,11/6,2012/8/22,2012,8/22
Prosperan Bank,Oakdale,MN,35074,"Alerus Financial, N.A.",2009/11/6,2009,11/6,2012/8/22,2012,8/22
Home Federal Savings Bank,Detroit,MI,30329,Liberty Bank and Trust Company,2009/11/6,2009,11/6,2012/8/22,2012,8/22
United Security Bank,Sparta,GA,22286,Ameris Bank,2009/11/6,2009,11/6,2014/3/21,2014,3/21
North Houston Bank,Houston,TX,18776,U.S. Bank N.A.,2009/10/30,2009,10/30,2012/8/22,2012,8/22
Madisonville State Bank,Madisonville,TX,33782,U.S. Bank N.A.,2009/10/30,2009,10/30,2012/8/22,2012,8/22
Citizens National Bank,Teague,TX,25222,U.S. Bank N.A.,2009/10/30,2009,10/30,2012/8/22,2012,8/22
Park National Bank,Chicago,IL,11677,U.S. Bank N.A.,2009/10/30,2009,10/30,2012/8/22,2012,8/22
Pacific National Bank,San Francisco,CA,30006,U.S. Bank N.A.,2009/10/30,2009,10/30,2012/8/22,2012,8/22
California National Bank,Los Angeles,CA,34659,U.S. Bank N.A.,2009/10/30,2009,10/30,2012/9/5,2012,9/5
San Diego National Bank,San Diego,CA,23594,U.S. Bank N.A.,2009/10/30,2009,10/30,2012/8/22,2012,8/22
Community Bank of Lemont,Lemont,IL,35291,U.S. Bank N.A.,2009/10/30,2009,10/30,2013/1/15,2013,1/15
"Bank USA, N.A.",Phoenix,AZ,32218,U.S. Bank N.A.,2009/10/30,2009,10/30,2012/8/22,2012,8/22
First DuPage Bank,Westmont,IL,35038,First Midwest Bank,2009/10/23,2009,10/23,2012/8/22,2012,8/22
Riverview Community Bank,Otsego,MN,57525,Central Bank,2009/10/23,2009,10/23,2017/12/21,2017,12/21
Bank of Elmwood,Racine,WI,18321,Tri City National Bank,2009/10/23,2009,10/23,2012/8/22,2012,8/22
Flagship National Bank,Bradenton,FL,35044,First Federal Bank of Florida,2009/10/23,2009,10/23,2015/2/5,2015,2/5
Hillcrest Bank Florida,Naples,FL,58336,Stonegate Bank,2009/10/23,2009,10/23,2012/8/22,2012,8/22
American United Bank,Lawrenceville,GA,57794,Ameris Bank,2009/10/23,2009,10/23,2018/7/16,2018,7/16
Partners Bank,Naples,FL,57959,Stonegate Bank,2009/10/23,2009,10/23,2015/2/5,2015,2/5
San Joaquin Bank,Bakersfield,CA,23266,Citizens Business Bank,2009/10/16,2009,10/16,2012/8/22,2012,8/22
Southern Colorado National Bank,Pueblo,CO,57263,Legacy Bank,2009/10/2,2009,10/2,2016/12/12,2016,12/12
Jennings State Bank,Spring Grove,MN,11416,Central Bank,2009/10/2,2009,10/2,2017/11/15,2017,11/15
Warren Bank,Warren,MI,34824,The Huntington National Bank,2009/10/2,2009,10/2,2012/8/21,2012,8/21
Georgian Bank,Atlanta,GA,57151,"First Citizens Bank and Trust Company, Inc.",2009/9/25,2009,9/25,2012/8/21,2012,8/21
"Irwin Union Bank, F.S.B.",Louisville,KY,57068,"First Financial Bank, N.A.",2009/9/18,2009,9/18,2012/9/5,2012,9/5
Irwin Union Bank and Trust Company,Columbus,IN,10100,"First Financial Bank, N.A.",2009/9/18,2009,9/18,2012/8/21,2012,8/21
Venture Bank,Lacey,WA,22868,First-Citizens Bank & Trust Company,2009/9/11,2009,9/11,2012/8/21,2012,8/21
Brickwell Community Bank,Woodbury,MN,57736,CorTrust Bank N.A.,2009/9/11,2009,9/11,2016/10/20,2016,10/20
"Corus Bank, N.A.",Chicago,IL,13693,"MB Financial Bank, N.A.",2009/9/11,2009,9/11,2012/8/21,2012,8/21
First State Bank,Flagstaff,AZ,34875,Sunwest Bank,2009/9/4,2009,9/4,2015/2/5,2015,2/5
Platinum Community Bank,Rolling Meadows,IL,35030,No Acquirer,2009/9/4,2009,9/4,2012/8/21,2012,8/21
Vantus Bank,Sioux City,IA,27732,Great Southern Bank,2009/9/4,2009,9/4,2012/8/21,2012,8/21
InBank,Oak Forest,IL,20203,"MB Financial Bank, N.A.",2009/9/4,2009,9/4,2015/10/17,2015,10/17
First Bank of Kansas City,Kansas City,MO,25231,Great American Bank,2009/9/4,2009,9/4,2012/8/21,2012,8/21
Affinity Bank,Ventura,CA,27197,Pacific Western Bank,2009/8/28,2009,8/28,2012/8/21,2012,8/21
Mainstreet Bank,Forest Lake,MN,1909,Central Bank,2009/8/28,2009,8/28,2018/2/21,2018,2/21
Bradford Bank,Baltimore,MD,28312,Manufacturers and Traders Trust Company (M&T Bank),2009/8/28,2009,8/28,2013/1/15,2013,1/15
Guaranty Bank,Austin,TX,32618,BBVA Compass,2009/8/21,2009,8/21,2012/8/21,2012,8/21
CapitalSouth Bank,Birmingham,AL,22130,IBERIABANK,2009/8/21,2009,8/21,2018/2/20,2018,2/20
First Coweta Bank,Newnan,GA,57702,United Bank,2009/8/21,2009,8/21,2015/12/7,2015,12/7
ebank,Atlanta,GA,34682,"Stearns Bank, N.A.",2009/8/21,2009,8/21,2012/8/21,2012,8/21
Community Bank of Nevada,Las Vegas,NV,34043,No Acquirer,2009/8/14,2009,8/14,2012/8/21,2012,8/21
Community Bank of Arizona,Phoenix,AZ,57645,MidFirst Bank,2009/8/14,2009,8/14,2012/8/21,2012,8/21
"Union Bank, National Association",Gilbert,AZ,34485,MidFirst Bank,2009/8/14,2009,8/14,2012/8/21,2012,8/21
Colonial Bank,Montgomery,AL,9609,"Branch Banking & Trust Company, (BB&T)",2009/8/14,2009,8/14,2014/6/12,2014,6/12
Dwelling House Savings and Loan Association,Pittsburgh,PA,31559,"PNC Bank, N.A.",2009/8/14,2009,8/14,2013/1/15,2013,1/15
Community First Bank,Prineville,OR,23268,Home Federal Bank,2009/8/7,2009,8/7,2018/6/6,2018,6/6
Community National Bank of Sarasota County,Venice,FL,27183,"Stearns Bank, N.A.",2009/8/7,2009,8/7,2012/8/20,2012,8/20
First State Bank,Sarasota,FL,27364,"Stearns Bank, N.A.",2009/8/7,2009,8/7,2012/8/20,2012,8/20
Mutual Bank,Harvey,IL,18659,United Central Bank,2009/7/31,2009,7/31,2012/8/20,2012,8/20
First BankAmericano,Elizabeth,NJ,34270,Crown Bank,2009/7/31,2009,7/31,2012/8/20,2012,8/20
Peoples Community Bank,West Chester,OH,32288,"First Financial Bank, N.A.",2009/7/31,2009,7/31,2012/8/20,2012,8/20
Integrity Bank,Jupiter,FL,57604,Stonegate Bank,2009/7/31,2009,7/31,2012/8/20,2012,8/20
First State Bank of Altus,Altus,OK,9873,Herring Bank,2009/7/31,2009,7/31,2012/8/20,2012,8/20
Security Bank of Jones County,Gray,GA,8486,State Bank and Trust Company,2009/7/24,2009,7/24,2012/8/20,2012,8/20
Security Bank of Houston County,Perry,GA,27048,State Bank and Trust Company,2009/7/24,2009,7/24,2015/10/17,2015,10/17
Security Bank of Bibb County,Macon,GA,27367,State Bank and Trust Company,2009/7/24,2009,7/24,2012/8/20,2012,8/20
Security Bank of North Metro,Woodstock,GA,57105,State Bank and Trust Company,2009/7/24,2009,7/24,2016/1/6,2016,1/6
Security Bank of North Fulton,Alpharetta,GA,57430,State Bank and Trust Company,2009/7/24,2009,7/24,2012/8/20,2012,8/20
Security Bank of Gwinnett County,Suwanee,GA,57346,State Bank and Trust Company,2009/7/24,2009,7/24,2017/10/23,2017,10/23
Waterford Village Bank,Williamsville,NY,58065,"Evans Bank, N.A.",2009/7/24,2009,7/24,2013/11/1,2013,11/1
Temecula Valley Bank,Temecula,CA,34341,First-Citizens Bank & Trust Company,2009/7/17,2009,7/17,2016/10/20,2016,10/20
Vineyard Bank,Rancho Cucamonga,CA,23556,California Bank & Trust,2009/7/17,2009,7/17,2012/8/20,2012,8/20
BankFirst,Sioux Falls,SD,34103,"Alerus Financial, N.A.",2009/7/17,2009,7/17,2018/7/16,2018,7/16
First Piedmont Bank,Winder,GA,34594,First American Bank and Trust Company,2009/7/17,2009,7/17,2016/8/8,2016,8/8
Bank of Wyoming,Thermopolis,WY,22754,Central Bank & Trust,2009/7/10,2009,7/10,2012/8/20,2012,8/20
Founders Bank,Worth,IL,18390,The PrivateBank and Trust Company,2009/7/2,2009,7/2,2012/8/20,2012,8/20
Millennium State Bank of Texas,Dallas,TX,57667,State Bank of Texas,2009/7/2,2009,7/2,2012/10/26,2012,10/26
First National Bank of Danville,Danville,IL,3644,"First Financial Bank, N.A.",2009/7/2,2009,7/2,2012/8/20,2012,8/20
The Elizabeth State Bank,Elizabeth,IL,9262,Galena State Bank and Trust Company,2009/7/2,2009,7/2,2018/5/10,2018,5/10
Rock River Bank,Oregon,IL,15302,The Harvard State Bank,2009/7/2,2009,7/2,2018/5/9,2018,5/9
